name,SMILES,price_per_gram,amount,mode
EN300-07843,CCOc1cc(C=O)ccc1OC(C)C(=O)N(C)C,116.6,10.0,SCR
EN300-05707,Brc1cc(C=O)cc2OCOc21,78.7,10.0,SCR
EN300-07658,O=Cc1ccc(cc1)N2CCCCC2,4.5,10.0,SCR
EN300-07659,COc1cc(C=O)cc(Br)c1OCC(=O)N(C)C,157.5,10.0,SCR
EN300-10027,Cc1cccc(c1)c2nn(cc2C=O)c3ccccc3,116.6,10.0,SCR
EN300-11210,Cc1ccc(cc1C)c2nn(cc2C=O)c3ccccc3,116.6,10.0,SCR
EN300-13716,COc1ccc(C)cc1C=O,11.81,100.0,SCR
EN300-09815,CCOc1cc(C=O)ccc1OC(F)F,136.2,10.0,SCR
EN300-10032,Cc1cc(C=O)c(C)n1CC2COc3ccccc3O2,116.6,10.0,SCR
EN300-10692,CCCCn1nc(C)c(C=O)c1Cl,116.6,10.0,SCR
EN300-11135,COc1cc(C=O)ccc1OCC(=O)N2CCCC2,67.8,10.0,SCR
EN300-08899,CCOc1cc(C=O)ccc1OCC#C,291.6,10.0,SCR
EN300-25338,OCCOc1ccc(C=O)c(Br)c1,245.4,10.0,SCR
EN300-25340,CS(=O)(=O)C(C=O)c1nc2ccccc2[nH]1,169.3,10.0,SCR
EN300-24078,COc1nc(sc1C=O)N(C)C,99.0,10.0,SCR
EN300-25759,Cc1nn(C)c(Cl)c1C=O,4.77,100.0,SCR
EN300-11467,O=Cc1cnn(n1)c2ccccc2,161.1,10.0,SCR
EN300-09577,Clc1ccc(cc1)c2nn(CCC#N)cc2C=O,145.9,10.0,SCR
EN300-10051,Brc1cccc(c1)c2nc(C=O)cs2,97.4,10.0,SCR
EN300-10420,O=Cc1ccc(o1)c2nc3ccccc3s2,142.9,10.0,SCR
EN300-11628,CCCOc1c(Cl)cc(C=O)cc1OC,66.5,10.0,SCR
EN300-09575,COc1ccc(C=O)cc1OC(F)F,289.2,10.0,SCR
EN300-10212,CCOc1cc2CC(C)Oc2cc1C=O,48.6,10.0,SCR
EN300-07587,CCOc1cc(C=O)cc(Cl)c1O,52.8,2.5,SCR
EN300-01127,O=Cc1c(Sc2nnnn2c3ccccc3)nc4ccccn4c1=O,134.2,10.0,SCR
EN300-06669,CCn1c(N=CN(C)C)c(C=O)c(=O)[nH]c1=O,169.3,10.0,SCR
EN300-00961,Clc1nc2ccccn2c1C=O,216.8,10.0,SCR
EN300-09555,COc1cc(C=O)cc(Cl)c1OC(F)F,169.3,10.0,SCR
EN300-00978,Cc1csc2nc(C)c(C=O)n12,268.8,10.0,SCR
EN300-09562,COc1ccccc1c2nn(cc2C=O)c3ccccc3,116.6,10.0,SCR
EN300-07553,Oc1nc2ccccc2cc1C=O,25.7,10.0,SCR
EN300-18990,O=Cc1cccs1,0.69,100.0,SCR
EN300-55086,Oc1c(F)cccc1C=O,4.4,100.0,SCR
EN300-00993,CN1C(=CC=O)C(C)(C)c2ccccc12,4.5,10.0,SCR
EN300-15457,COC(=O)c1ccc(C=O)cc1,0.64,100.0,SCR
EN300-01044,O=Cc1cn(nc1c2cc3ccccc3oc2=O)c4ccccc4,116.6,10.0,SCR
EN300-01026,O=Cc1ccc(cc1)N2CCOCC2,4.4,10.0,SCR
EN300-01027,[O-][N+](=O)c1cccc(c1)C(=O)Oc2ccc(C=O)cc2,116.6,10.0,SCR
EN300-21347,FC(F)(F)c1cccc(C=O)c1,0.64,100.0,SCR
EN300-18119,Oc1c(Br)cc(C=O)cc1Br,1.51,100.0,SCR
EN300-20402,O=Cc1ccc(C#N)cc1,0.64,100.0,SCR
EN300-01035,CC(C)CCOc1ccc(C=O)cc1,99.0,10.0,SCR
EN300-20017,O=Cc1cccc(Oc2ccccc2)c1,1.3,100.0,SCR
EN300-01036,CCCOc1ccc(C=O)c(OCCC)c1,69.7,10.0,SCR
EN300-50304,COc1cc(C=O)cc(Br)c1OC(F)F,116.6,10.0,SCR
EN300-15512,O=Cc1ccc(OCc2ccccc2)cc1,0.69,100.0,SCR
EN300-01028,CCN(Cc1ccccc1)c2ccc(C=O)cc2,157.5,10.0,SCR
EN300-50463,CC(C)c1nn(cc1C=O)c2ccccc2,145.9,10.0,SCR
EN300-00988,O=Cc1cn(nc1c2ccccc2)c3ccccc3,14.3,10.0,SCR
EN300-01173,Cc1cc(C=O)c(C)n1c2ccccc2,11.3,10.0,SCR